subject,rhythm,tone,freq,isMeterRel,amp_eeg,amp_coch
1,unsync,low,2.5,0,0.0231535788625479,25.1118676585633
2,unsync,low,2.5,0,0.0876114815473557,25.1118676585633
3,unsync,low,2.5,0,0.039804644882679,25.1118676585633
4,unsync,low,2.5,0,0.0577339641749859,25.1118676585633
5,unsync,low,2.5,0,0.0465427786111832,25.1118676585633
6,unsync,low,2.5,0,-0.0212575756013393,25.1118676585633
7,unsync,low,2.5,0,0.0335818491876125,25.1118676585633
8,unsync,low,2.5,0,0.042081281542778,25.1118676585633
9,unsync,low,2.5,0,0.0473216250538826,25.1118676585633
10,unsync,low,2.5,0,-0.00774194486439228,25.1118676585633
11,unsync,low,2.5,0,0.0338000133633614,25.1118676585633
12,unsync,low,2.5,0,0.0533170327544212,25.1118676585633
13,unsync,low,2.5,0,0.0439669266343117,25.1118676585633
14,unsync,low,2.5,0,0.064252994954586,25.1118676585633
1,unsync,low,2.917,0,0.0128603195771575,10.0312362631576
2,unsync,low,2.917,0,0.013813404366374,10.0312362631576
3,unsync,low,2.917,0,-0.000218637418583967,10.0312362631576
4,unsync,low,2.917,0,-0.00752546871080995,10.0312362631576
5,unsync,low,2.917,0,0.0295576266944408,10.0312362631576
6,unsync,low,2.917,0,0.00519889779388905,10.0312362631576
7,unsync,low,2.917,0,0.00452495040372014,10.0312362631576
8,unsync,low,2.917,0,0.00684871058911085,10.0312362631576
9,unsync,low,2.917,0,0.00478868000209332,10.0312362631576
10,unsync,low,2.917,0,0.0184685736894608,10.0312362631576
11,unsync,low,2.917,0,0.0145009281113744,10.0312362631576
12,unsync,low,2.917,0,0.0347264036536217,10.0312362631576
13,unsync,low,2.917,0,-0.00902592018246651,10.0312362631576
14,unsync,low,2.917,0,-0.00862804614007473,10.0312362631576
1,unsync,low,3.333,1,0.0206302795559168,8.67655408811494
2,unsync,low,3.333,1,0.02015789039433,8.67655408811494
3,unsync,low,3.333,1,0.009091273881495,8.67655408811494
4,unsync,low,3.333,1,0.030936935916543,8.67655408811494
5,unsync,low,3.333,1,0.0275632776319981,8.67655408811494
6,unsync,low,3.333,1,0.00233972468413413,8.67655408811494
7,unsync,low,3.333,1,0.010850409977138,8.67655408811494
8,unsync,low,3.333,1,0.0251326654106379,8.67655408811494
9,unsync,low,3.333,1,0.00630363496020436,8.67655408811494
10,unsync,low,3.333,1,0.000428749364800751,8.67655408811494
11,unsync,low,3.333,1,0.00387464137747884,8.67655408811494
12,unsync,low,3.333,1,0.0180671159178019,8.67655408811494
13,unsync,low,3.333,1,-0.00348401884548366,8.67655408811494
14,unsync,low,3.333,1,0.0119842076674104,8.67655408811494
1,unsync,low,3.75,0,0.0267819873988628,25.4333700177257
2,unsync,low,3.75,0,0.0138743668794632,25.4333700177257
3,unsync,low,3.75,0,0.0379342548549175,25.4333700177257
4,unsync,low,3.75,0,0.0836921855807304,25.4333700177257
5,unsync,low,3.75,0,0.0756318867206573,25.4333700177257
6,unsync,low,3.75,0,0.0804440975189209,25.4333700177257
7,unsync,low,3.75,0,0.0828367248177528,25.4333700177257
8,unsync,low,3.75,0,0.0452087968587875,25.4333700177257
9,unsync,low,3.75,0,0.0552011765539646,25.4333700177257
10,unsync,low,3.75,0,0.0189124383032322,25.4333700177257
11,unsync,low,3.75,0,0.00219877623021603,25.4333700177257
12,unsync,low,3.75,0,0.0220494009554386,25.4333700177257
13,unsync,low,3.75,0,0.0323835350573063,25.4333700177257
14,unsync,low,3.75,0,0.0956646353006363,25.4333700177257
1,unsync,low,4.167,0,0.00336172734387219,5.67504300135632
2,unsync,low,4.167,0,0.0029445190448314,5.67504300135632
3,unsync,low,4.167,0,-0.00818685628473759,5.67504300135632
4,unsync,low,4.167,0,0.0157128311693668,5.67504300135632
5,unsync,low,4.167,0,0.00716378632932901,5.67504300135632
6,unsync,low,4.167,0,0.0114624863490462,5.67504300135632
7,unsync,low,4.167,0,0.0108940303325653,5.67504300135632
8,unsync,low,4.167,0,-0.000280432257568464,5.67504300135632
9,unsync,low,4.167,0,-0.00167694478295743,5.67504300135632
10,unsync,low,4.167,0,0.0109321298077703,5.67504300135632
11,unsync,low,4.167,0,-0.00232454249635339,5.67504300135632
12,unsync,low,4.167,0,0.005983826238662,5.67504300135632
13,unsync,low,4.167,0,0.00282690674066544,5.67504300135632
14,unsync,low,4.167,0,0.0250265747308731,5.67504300135632
1,unsync,low,4.583,1,0.0120544070377946,4.08060150373885
2,unsync,low,4.583,1,0.0188390705734491,4.08060150373885
3,unsync,low,4.583,1,0.00685529783368111,4.08060150373885
4,unsync,low,4.583,1,-0.00731106568127871,4.08060150373885
5,unsync,low,4.583,1,0.011102382093668,4.08060150373885
6,unsync,low,4.583,1,0.0130382757633924,4.08060150373885
7,unsync,low,4.583,1,0.0206917133182287,4.08060150373885
8,unsync,low,4.583,1,0.0109247276559472,4.08060150373885
9,unsync,low,4.583,1,0.015069380402565,4.08060150373885
10,unsync,low,4.583,1,0.0368997789919376,4.08060150373885
11,unsync,low,4.583,1,0.00357250473462045,4.08060150373885
12,unsync,low,4.583,1,0.00444953935220838,4.08060150373885
13,unsync,low,4.583,1,0.015233707614243,4.08060150373885
14,unsync,low,4.583,1,0.014094028621912,4.08060150373885
1,unsync,low,5,0,0.0906693041324615,19.5152444785174
2,unsync,low,5,0,0.113465122878551,19.5152444785174
3,unsync,low,5,0,0.0500716231763363,19.5152444785174
4,unsync,low,5,0,0.0723496228456497,19.5152444785174
5,unsync,low,5,0,0.0564988702535629,19.5152444785174
6,unsync,low,5,0,0.122912555932999,19.5152444785174
7,unsync,low,5,0,0.105849526822567,19.5152444785174
8,unsync,low,5,0,0.086730070412159,19.5152444785174
9,unsync,low,5,0,0.11801315844059,19.5152444785174
10,unsync,low,5,0,0.0729102790355682,19.5152444785174
11,unsync,low,5,0,0.0347706153988838,19.5152444785174
12,unsync,low,5,0,0.225350722670555,19.5152444785174
13,unsync,low,5,0,0.0431187897920609,19.5152444785174
14,unsync,low,5,0,0.120008401572704,19.5152444785174
1,unsync,low,5.417,0,0.00724947173148394,1.17238289097257
2,unsync,low,5.417,0,-0.0088464692234993,1.17238289097257
3,unsync,low,5.417,0,0.0173369236290455,1.17238289097257
4,unsync,low,5.417,0,0.010282238945365,1.17238289097257
5,unsync,low,5.417,0,0.0183476358652115,1.17238289097257
6,unsync,low,5.417,0,0.000528456410393119,1.17238289097257
7,unsync,low,5.417,0,0.00900461617857218,1.17238289097257
8,unsync,low,5.417,0,-0.00930772814899683,1.17238289097257
9,unsync,low,5.417,0,0.00107591785490513,1.17238289097257
10,unsync,low,5.417,0,0.00280493590980768,1.17238289097257
11,unsync,low,5.417,0,0.000901879044249654,1.17238289097257
12,unsync,low,5.417,0,0.0186809487640858,1.17238289097257
13,unsync,low,5.417,0,0.0106419399380684,1.17238289097257
14,unsync,low,5.417,0,0.0369489043951035,1.17238289097257
1,unsync,low,5.833,0,0.00151173665653914,1.10282360223704
2,unsync,low,5.833,0,-0.0103128217160702,1.10282360223704
3,unsync,low,5.833,0,0.00189404480624944,1.10282360223704
4,unsync,low,5.833,0,0.0193788185715675,1.10282360223704
5,unsync,low,5.833,0,0.00458260672166944,1.10282360223704
6,unsync,low,5.833,0,-0.0190636906772852,1.10282360223704
7,unsync,low,5.833,0,-0.00826524291187525,1.10282360223704
8,unsync,low,5.833,0,-0.00759299378842115,1.10282360223704
9,unsync,low,5.833,0,0.0158838629722595,1.10282360223704
10,unsync,low,5.833,0,0.0137101393193007,1.10282360223704
11,unsync,low,5.833,0,-0.00754777481779456,1.10282360223704
12,unsync,low,5.833,0,0.000629890768323094,1.10282360223704
13,unsync,low,5.833,0,0.000590168638154864,1.10282360223704
14,unsync,low,5.833,0,0.00398283032700419,1.10282360223704
1,unsync,low,6.25,0,0.0126159051433206,7.26481062763215
2,unsync,low,6.25,0,0.0547802336513996,7.26481062763215
3,unsync,low,6.25,0,-0.00136771064717323,7.26481062763215
4,unsync,low,6.25,0,0.00964404549449682,7.26481062763215
5,unsync,low,6.25,0,0.00624212389811873,7.26481062763215
6,unsync,low,6.25,0,-0.00809667911380529,7.26481062763215
7,unsync,low,6.25,0,0.0142660140991211,7.26481062763215
8,unsync,low,6.25,0,0.0220504198223352,7.26481062763215
9,unsync,low,6.25,0,0.0187815818935633,7.26481062763215
10,unsync,low,6.25,0,0.0379508920013905,7.26481062763215
11,unsync,low,6.25,0,0.0153807820752263,7.26481062763215
12,unsync,low,6.25,0,0.041673444211483,7.26481062763215
13,unsync,low,6.25,0,0.000966861320193857,7.26481062763215
14,unsync,low,6.25,0,0.0314288288354874,7.26481062763215
1,unsync,low,6.667,0,0.0148154487833381,2.79285874635006
2,unsync,low,6.667,0,0.0189520791172981,2.79285874635006
3,unsync,low,6.667,0,0.0148264234885573,2.79285874635006
4,unsync,low,6.667,0,-0.00240600085817277,2.79285874635006
5,unsync,low,6.667,0,0.00941366329789162,2.79285874635006
6,unsync,low,6.667,0,0.0360415875911713,2.79285874635006
7,unsync,low,6.667,0,0.0283466316759586,2.79285874635006
8,unsync,low,6.667,0,-0.00222412217408419,2.79285874635006
9,unsync,low,6.667,0,0.000816138228401542,2.79285874635006
10,unsync,low,6.667,0,0.00319661642424762,2.79285874635006
11,unsync,low,6.667,0,0.00432630721479654,2.79285874635006
12,unsync,low,6.667,0,-0.00463624019175768,2.79285874635006
13,unsync,low,6.667,0,0.00770939467474818,2.79285874635006
14,unsync,low,6.667,0,0.0155276414006948,2.79285874635006
1,unsync,low,7.083,0,0.00506783649325371,3.4231978753529
2,unsync,low,7.083,0,0.0266567226499319,3.4231978753529
3,unsync,low,7.083,0,0.00548257911577821,3.4231978753529
4,unsync,low,7.083,0,-0.00285179726779461,3.4231978753529
5,unsync,low,7.083,0,0.00631475541740656,3.4231978753529
6,unsync,low,7.083,0,-6.69168803142384e-05,3.4231978753529
7,unsync,low,7.083,0,0.0325324051082134,3.4231978753529
8,unsync,low,7.083,0,-0.00329341157339513,3.4231978753529
9,unsync,low,7.083,0,0.0024191050324589,3.4231978753529
10,unsync,low,7.083,0,0.0108522223308682,3.4231978753529
11,unsync,low,7.083,0,-0.00994178559631109,3.4231978753529
12,unsync,low,7.083,0,-0.00679923873394728,3.4231978753529
13,unsync,low,7.083,0,0.00751370191574097,3.4231978753529
14,unsync,low,7.083,0,0.00994029641151428,3.4231978753529
1,unsync,low,7.5,0,0.0266444571316242,9.37429838300734
2,unsync,low,7.5,0,0.0199271701276302,9.37429838300734
3,unsync,low,7.5,0,0.0191411226987839,9.37429838300734
4,unsync,low,7.5,0,0.00821974035352468,9.37429838300734
5,unsync,low,7.5,0,0.0144981304183602,9.37429838300734
6,unsync,low,7.5,0,0.067560039460659,9.37429838300734
7,unsync,low,7.5,0,0.0137486532330513,9.37429838300734
8,unsync,low,7.5,0,0.00658274348825216,9.37429838300734
9,unsync,low,7.5,0,0.0172888748347759,9.37429838300734
10,unsync,low,7.5,0,0.0112100783735514,9.37429838300734
11,unsync,low,7.5,0,-0.000761429488193244,9.37429838300734
12,unsync,low,7.5,0,0.0235108360648155,9.37429838300734
13,unsync,low,7.5,0,0.00833443459123373,9.37429838300734
14,unsync,low,7.5,0,0.0162404105067253,9.37429838300734
1,unsync,low,7.917,0,0.00840011611580849,4.09809157772648
2,unsync,low,7.917,0,0.00222108652815223,4.09809157772648
3,unsync,low,7.917,0,-0.00190166372340173,4.09809157772648
4,unsync,low,7.917,0,0.00505635002627969,4.09809157772648
5,unsync,low,7.917,0,0.00965878833085299,4.09809157772648
6,unsync,low,7.917,0,0.0267960708588362,4.09809157772648
7,unsync,low,7.917,0,-0.00032551956246607,4.09809157772648
8,unsync,low,7.917,0,-0.0119510097429156,4.09809157772648
9,unsync,low,7.917,0,-0.00827650353312492,4.09809157772648
10,unsync,low,7.917,0,-0.00271978974342346,4.09809157772648
11,unsync,low,7.917,0,-0.023718724027276,4.09809157772648
12,unsync,low,7.917,0,-0.00471742264926434,4.09809157772648
13,unsync,low,7.917,0,0.0160444844514132,4.09809157772648
14,unsync,low,7.917,0,0.00945093762129545,4.09809157772648
1,unsync,low,8.333,0,-0.00352292647585273,4.14067659376142
2,unsync,low,8.333,0,0.0061978530138731,4.14067659376142
3,unsync,low,8.333,0,0.0061803893186152,4.14067659376142
4,unsync,low,8.333,0,0.000337939040036872,4.14067659376142
5,unsync,low,8.333,0,-0.0014182454906404,4.14067659376142
6,unsync,low,8.333,0,0.152544856071472,4.14067659376142
7,unsync,low,8.333,0,0.00536856381222606,4.14067659376142
8,unsync,low,8.333,0,-0.0138484295457602,4.14067659376142
9,unsync,low,8.333,0,-0.00272366544231772,4.14067659376142
10,unsync,low,8.333,0,-0.00217444263398647,4.14067659376142
11,unsync,low,8.333,0,0.00296832318417728,4.14067659376142
12,unsync,low,8.333,0,0.0254274848848581,4.14067659376142
13,unsync,low,8.333,0,-0.00232992391102016,4.14067659376142
14,unsync,low,8.333,0,-0.00147764733992517,4.14067659376142
1,unsync,low,8.75,0,0.0226144660264254,13.5106317245563
2,unsync,low,8.75,0,-0.00506713567301631,13.5106317245563
3,unsync,low,8.75,0,0.00107358430977911,13.5106317245563
4,unsync,low,8.75,0,-0.000119260563224088,13.5106317245563
5,unsync,low,8.75,0,0.022795083001256,13.5106317245563
6,unsync,low,8.75,0,0.0600924864411354,13.5106317245563
7,unsync,low,8.75,0,-0.00709411269053817,13.5106317245563
8,unsync,low,8.75,0,-0.00502734445035458,13.5106317245563
9,unsync,low,8.75,0,0.0273762978613377,13.5106317245563
10,unsync,low,8.75,0,-0.00294487597420812,13.5106317245563
11,unsync,low,8.75,0,-0.000803917704615742,13.5106317245563
12,unsync,low,8.75,0,-0.00204377947375178,13.5106317245563
13,unsync,low,8.75,0,0.0123136220499873,13.5106317245563
14,unsync,low,8.75,0,0.0178266372531652,13.5106317245563
1,unsync,low,9.167,0,-0.0101933944970369,3.61558495544453
2,unsync,low,9.167,0,-0.00324701983481646,3.61558495544453
3,unsync,low,9.167,0,0.0014930262695998,3.61558495544453
4,unsync,low,9.167,0,0.00295290839858353,3.61558495544453
5,unsync,low,9.167,0,-0.00106251752004027,3.61558495544453
6,unsync,low,9.167,0,-0.0321979634463787,3.61558495544453
7,unsync,low,9.167,0,0.014389218762517,3.61558495544453
8,unsync,low,9.167,0,0.00580081576481462,3.61558495544453
9,unsync,low,9.167,0,0.00474282819777727,3.61558495544453
10,unsync,low,9.167,0,0.0135872727259994,3.61558495544453
11,unsync,low,9.167,0,-0.0332359485328197,3.61558495544453
12,unsync,low,9.167,0,0.000906384433619678,3.61558495544453
13,unsync,low,9.167,0,3.09216593450401e-05,3.61558495544453
14,unsync,low,9.167,0,0.00267905555665493,3.61558495544453
1,unsync,low,9.583,0,0.00708840321749449,3.10272689666975
2,unsync,low,9.583,0,-0.00714389560744166,3.10272689666975
3,unsync,low,9.583,0,-0.00335038616321981,3.10272689666975
4,unsync,low,9.583,0,0.00670083146542311,3.10272689666975
5,unsync,low,9.583,0,-0.00824159756302834,3.10272689666975
6,unsync,low,9.583,0,-0.0892799273133278,3.10272689666975
7,unsync,low,9.583,0,0.00479252776131034,3.10272689666975
8,unsync,low,9.583,0,-0.0198937207460403,3.10272689666975
9,unsync,low,9.583,0,0.0118494667112827,3.10272689666975
10,unsync,low,9.583,0,0.000640638929326087,3.10272689666975
11,unsync,low,9.583,0,-0.00652909791097045,3.10272689666975
12,unsync,low,9.583,0,0.00267498195171356,3.10272689666975
13,unsync,low,9.583,0,0.00566636025905609,3.10272689666975
14,unsync,low,9.583,0,-0.00125554669648409,3.10272689666975
1,unsync,low,10,0,0.0183633584529161,20.4556459577143
2,unsync,low,10,0,0.0359265208244324,20.4556459577143
3,unsync,low,10,0,-0.00337214302271605,20.4556459577143
4,unsync,low,10,0,0.0220136251300573,20.4556459577143
5,unsync,low,10,0,0.0376527346670628,20.4556459577143
6,unsync,low,10,0,0.0031407275237143,20.4556459577143
7,unsync,low,10,0,0.00204068957827985,20.4556459577143
8,unsync,low,10,0,0.000819619628600776,20.4556459577143
9,unsync,low,10,0,0.0467987880110741,20.4556459577143
10,unsync,low,10,0,0.020157178863883,20.4556459577143
11,unsync,low,10,0,-0.0306598357856274,20.4556459577143
12,unsync,low,10,0,0.0629976093769073,20.4556459577143
13,unsync,low,10,0,0.0078517273068428,20.4556459577143
14,unsync,low,10,0,0.0207013916224241,20.4556459577143
1,unsync,low,10.417,0,0.0070040081627667,1.96658195460071
2,unsync,low,10.417,0,0.00158765108790249,1.96658195460071
3,unsync,low,10.417,0,-0.00131371722090989,1.96658195460071
4,unsync,low,10.417,0,-0.0102568846195936,1.96658195460071
5,unsync,low,10.417,0,0.0127491215243936,1.96658195460071
6,unsync,low,10.417,0,0.0155933322384953,1.96658195460071
7,unsync,low,10.417,0,-0.0100749433040619,1.96658195460071
8,unsync,low,10.417,0,-0.0318483747541904,1.96658195460071
9,unsync,low,10.417,0,0.0125392582267523,1.96658195460071
10,unsync,low,10.417,0,-0.000173030639416538,1.96658195460071
11,unsync,low,10.417,0,0.0791727602481842,1.96658195460071
12,unsync,low,10.417,0,-0.00053909100824967,1.96658195460071
13,unsync,low,10.417,0,-0.00133859063498676,1.96658195460071
14,unsync,low,10.417,0,-0.0206625070422888,1.96658195460071
1,unsync,low,10.833,0,0.00499160913750529,1.55588339435363
2,unsync,low,10.833,0,0.00107733020558953,1.55588339435363
3,unsync,low,10.833,0,0.0155431507155299,1.55588339435363
4,unsync,low,10.833,0,-0.00308857834897935,1.55588339435363
5,unsync,low,10.833,0,-0.00183053500950336,1.55588339435363
6,unsync,low,10.833,0,-0.0603489726781845,1.55588339435363
7,unsync,low,10.833,0,0.00497596524655819,1.55588339435363
8,unsync,low,10.833,0,-0.037010632455349,1.55588339435363
9,unsync,low,10.833,0,-0.0053409175015986,1.55588339435363
10,unsync,low,10.833,0,0.000167372287251055,1.55588339435363
11,unsync,low,10.833,0,0.0127178775146604,1.55588339435363
12,unsync,low,10.833,0,5.93765726080164e-05,1.55588339435363
13,unsync,low,10.833,0,-0.0049282037653029,1.55588339435363
14,unsync,low,10.833,0,0.00294307852163911,1.55588339435363
1,unsync,low,11.25,0,-0.00918414536863565,3.99423057255289
2,unsync,low,11.25,0,0.0314944535493851,3.99423057255289
3,unsync,low,11.25,0,0.00654311059042811,3.99423057255289
4,unsync,low,11.25,0,0.00616324692964554,3.99423057255289
5,unsync,low,11.25,0,0.0364657267928123,3.99423057255289
6,unsync,low,11.25,0,0.00201532035134733,3.99423057255289
7,unsync,low,11.25,0,-6.57571945339441e-05,3.99423057255289
8,unsync,low,11.25,0,-0.0144697371870279,3.99423057255289
9,unsync,low,11.25,0,0.00455213291570544,3.99423057255289
10,unsync,low,11.25,0,0.00301553960889578,3.99423057255289
11,unsync,low,11.25,0,0.00133021036162972,3.99423057255289
12,unsync,low,11.25,0,-0.00185826909728348,3.99423057255289
13,unsync,low,11.25,0,0.0115995332598686,3.99423057255289
14,unsync,low,11.25,0,0.0102372458204627,3.99423057255289
1,unsync,low,11.667,0,-0.0035662988666445,1.38624450597665
2,unsync,low,11.667,0,-0.0041840635240078,1.38624450597665
3,unsync,low,11.667,0,0.000816850049886853,1.38624450597665
4,unsync,low,11.667,0,-0.0082514425739646,1.38624450597665
5,unsync,low,11.667,0,0.0101938461884856,1.38624450597665
6,unsync,low,11.667,0,-0.0158720463514328,1.38624450597665
7,unsync,low,11.667,0,-0.00448148651048541,1.38624450597665
8,unsync,low,11.667,0,-0.00152705318760127,1.38624450597665
9,unsync,low,11.667,0,0.0012176379095763,1.38624450597665
10,unsync,low,11.667,0,0.00339183234609663,1.38624450597665
11,unsync,low,11.667,0,-0.0196560136973858,1.38624450597665
12,unsync,low,11.667,0,-0.0060726897791028,1.38624450597665
13,unsync,low,11.667,0,0.0037869019433856,1.38624450597665
14,unsync,low,11.667,0,0.0129318377003074,1.38624450597665
1,unsync,low,12.083,0,0.0134174823760986,1.57512433765364
2,unsync,low,12.083,0,-0.000566589937079698,1.57512433765364
3,unsync,low,12.083,0,-0.00384200806729496,1.57512433765364
4,unsync,low,12.083,0,-0.00585630116984248,1.57512433765364
5,unsync,low,12.083,0,0.0146609079092741,1.57512433765364
6,unsync,low,12.083,0,-0.025593088939786,1.57512433765364
7,unsync,low,12.083,0,-0.00439005950465798,1.57512433765364
8,unsync,low,12.083,0,0.0142502579838037,1.57512433765364
9,unsync,low,12.083,0,0.000438908056821674,1.57512433765364
10,unsync,low,12.083,0,0.000246162730036303,1.57512433765364
11,unsync,low,12.083,0,-0.00757227605208755,1.57512433765364
12,unsync,low,12.083,0,-0.00123746669851243,1.57512433765364
13,unsync,low,12.083,0,0.00894914288073778,1.57512433765364
14,unsync,low,12.083,0,0.00412737857550383,1.57512433765364
1,unsync,low,12.5,0,0.00484763877466321,4.87823866089192
2,unsync,low,12.5,0,0.019946027547121,4.87823866089192
3,unsync,low,12.5,0,0.00915982853621244,4.87823866089192
4,unsync,low,12.5,0,-0.0114971185103059,4.87823866089192
5,unsync,low,12.5,0,0.00125103059690446,4.87823866089192
6,unsync,low,12.5,0,-0.00840735342353582,4.87823866089192
7,unsync,low,12.5,0,0.0137063413858414,4.87823866089192
8,unsync,low,12.5,0,0.0199471656233072,4.87823866089192
9,unsync,low,12.5,0,0.00194354658015072,4.87823866089192
10,unsync,low,12.5,0,0.00228812731802464,4.87823866089192
11,unsync,low,12.5,0,0.00934079568833113,4.87823866089192
12,unsync,low,12.5,0,0.00718136597424746,4.87823866089192
13,unsync,low,12.5,0,0.0056826937943697,4.87823866089192
14,unsync,low,12.5,0,-0.0018361012917012,4.87823866089192
1,unsync,low,12.917,0,-0.00180459057446569,2.16863019838227
2,unsync,low,12.917,0,-0.00931443832814693,2.16863019838227
3,unsync,low,12.917,0,-0.00307698780670762,2.16863019838227
4,unsync,low,12.917,0,0.00308635248802602,2.16863019838227
5,unsync,low,12.917,0,-0.00242655468173325,2.16863019838227
6,unsync,low,12.917,0,-0.00491001782938838,2.16863019838227
7,unsync,low,12.917,0,0.00554911280050874,2.16863019838227
8,unsync,low,12.917,0,-0.00348749849945307,2.16863019838227
9,unsync,low,12.917,0,-0.00610872963443398,2.16863019838227
10,unsync,low,12.917,0,0.0016421644249931,2.16863019838227
11,unsync,low,12.917,0,0.0123293735086918,2.16863019838227
12,unsync,low,12.917,0,0.0063945734873414,2.16863019838227
13,unsync,low,12.917,0,-0.000897007761523128,2.16863019838227
14,unsync,low,12.917,0,0.00539490859955549,2.16863019838227
1,unsync,low,13.333,0,0.00403510965406895,2.38868278620957
2,unsync,low,13.333,0,0.000638555036857724,2.38868278620957
3,unsync,low,13.333,0,-0.000312840304104611,2.38868278620957
4,unsync,low,13.333,0,0.0102401012554765,2.38868278620957
5,unsync,low,13.333,0,-0.00413612136617303,2.38868278620957
6,unsync,low,13.333,0,-0.0139596918597817,2.38868278620957
7,unsync,low,13.333,0,0.00426852516829967,2.38868278620957
8,unsync,low,13.333,0,-0.0066567393951118,2.38868278620957
9,unsync,low,13.333,0,-0.00474283518269658,2.38868278620957
10,unsync,low,13.333,0,-0.000835476967040449,2.38868278620957
11,unsync,low,13.333,0,-0.00289283879101276,2.38868278620957
12,unsync,low,13.333,0,0.00113805232103914,2.38868278620957
13,unsync,low,13.333,0,0.00192062347196043,2.38868278620957
